                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.0827,                 1.4203,                 1.5443,                0.68604,                0.60323,                0.67085,                0.45757,                 1.1732,                 1.2862,                 1.6077,             0.00056935,             0.00056935,             0.00056935
                     89,                 1.0771,                 1.4211,                 1.5384,                0.68946,                0.60213,                0.67196,                0.45823,                 1.1718,                 1.2836,                 1.6062,              0.0005644,              0.0005644,              0.0005644
                     90,                 1.0739,                 1.4068,                 1.5335,                0.69337,                0.60199,                0.67332,                0.45863,                 1.1706,                 1.2805,                 1.6048,             0.00055945,             0.00055945,             0.00055945
                     91,                 1.0828,                 1.4059,                 1.5394,                0.68835,                0.60701,                0.67416,                0.46045,                 1.1694,                  1.278,                 1.6033,              0.0005545,              0.0005545,              0.0005545
                     92,                 1.0736,                 1.3978,                 1.5319,                 0.6891,                0.60836,                 0.6758,                0.46137,                  1.168,                 1.2753,                 1.6019,             0.00054955,             0.00054955,             0.00054955
                     93,                  1.069,                 1.3908,                 1.5288,                0.68965,                0.61049,                 0.6766,                0.46203,                 1.1672,                 1.2726,                 1.6007,              0.0005446,              0.0005446,              0.0005446
                     94,                 1.0699,                 1.3909,                 1.5294,                0.69005,                0.61103,                0.67714,                0.46253,                  1.166,                 1.2699,                 1.5993,             0.00053965,             0.00053965,             0.00053965
                     95,                 1.0674,                 1.3849,                 1.5287,                0.69252,                0.61184,                0.67869,                0.46367,                 1.1648,                 1.2669,                 1.5981,              0.0005347,              0.0005347,              0.0005347
                     96,                 1.0664,                 1.3857,                 1.5291,                0.69314,                0.61122,                0.67974,                 0.4649,                 1.1639,                 1.2647,                  1.597,             0.00052975,             0.00052975,             0.00052975
                     97,                 1.0625,                 1.3698,                 1.5223,                0.69368,                  0.611,                0.68077,                0.46568,                 1.1628,                 1.2623,                 1.5957,              0.0005248,              0.0005248,              0.0005248
                     98,                 1.0574,                 1.3693,                 1.5197,                0.69419,                0.61156,                0.68187,                0.46683,                  1.162,                 1.2599,                 1.5946,             0.00051985,             0.00051985,             0.00051985
                     99,                 1.0607,                 1.3644,                 1.5194,                0.69618,                0.61319,                0.68315,                0.46788,                 1.1608,                 1.2573,                 1.5932,              0.0005149,              0.0005149,              0.0005149
                    100,                 1.0594,                 1.3609,                 1.5204,                0.69621,                0.61677,                0.68422,                0.46909,                 1.1597,                 1.2549,                 1.5919,             0.00050995,             0.00050995,             0.00050995
                    101,                 1.0554,                  1.352,                 1.5171,                0.69772,                0.61656,                0.68544,                0.46984,                 1.1586,                 1.2524,                 1.5907,               0.000505,               0.000505,               0.000505
                    102,                 1.0543,                   1.35,                 1.5155,                0.69806,                0.61824,                0.68631,                0.47044,                 1.1579,                 1.2503,                 1.5897,             0.00050005,             0.00050005,             0.00050005
                    103,                 1.0504,                 1.3492,                 1.5101,                0.69475,                 0.6229,                0.68776,                0.47152,                 1.1572,                 1.2472,                 1.5888,              0.0004951,              0.0004951,              0.0004951
                    104,                 1.0482,                 1.3386,                 1.5082,                0.69338,                0.62356,                0.68811,                0.47277,                 1.1561,                 1.2445,                 1.5876,             0.00049015,             0.00049015,             0.00049015
                    105,                 1.0464,                 1.3382,                  1.508,                0.69407,                0.62542,                0.68919,                0.47377,                 1.1554,                 1.2418,                 1.5865,              0.0004852,              0.0004852,              0.0004852
                    106,                 1.0507,                 1.3415,                 1.5086,                0.69583,                 0.6238,                0.68994,                0.47385,                 1.1546,                 1.2393,                 1.5857,             0.00048025,             0.00048025,             0.00048025
                    107,                  1.044,                 1.3241,                 1.5032,                0.69878,                0.62403,                0.69192,                0.47521,                  1.154,                 1.2373,                 1.5848,              0.0004753,              0.0004753,              0.0004753
                    108,                 1.0445,                 1.3277,                  1.505,                0.69988,                0.62311,                0.69249,                0.47578,                  1.153,                 1.2347,                 1.5837,             0.00047035,             0.00047035,             0.00047035
                    109,                 1.0457,                 1.3272,                 1.5022,                0.70299,                0.62247,                0.69333,                0.47648,                 1.1518,                 1.2327,                 1.5822,              0.0004654,              0.0004654,              0.0004654
                    110,                 1.0432,                 1.3251,                 1.5026,                0.70281,                0.62388,                0.69447,                0.47739,                 1.1508,                 1.2303,                  1.581,             0.00046045,             0.00046045,             0.00046045
                    111,                 1.0399,                 1.3162,                 1.4975,                0.70618,                0.62369,                0.69526,                0.47769,                 1.1501,                  1.228,                 1.5801,              0.0004555,              0.0004555,              0.0004555
                    112,                 1.0347,                 1.3105,                 1.4971,                0.70763,                0.62303,                0.69564,                0.47878,                 1.1492,                  1.226,                  1.579,             0.00045055,             0.00045055,             0.00045055
                    113,                 1.0351,                 1.3081,                 1.4978,                 0.7079,                 0.6229,                0.69656,                0.47917,                  1.148,                 1.2239,                 1.5775,              0.0004456,              0.0004456,              0.0004456
                    114,                  1.035,                 1.3001,                 1.4946,                0.70835,                0.62372,                0.69804,                0.48054,                 1.1474,                 1.2218,                 1.5767,             0.00044065,             0.00044065,             0.00044065
                    115,                 1.0311,                  1.302,                 1.4928,                0.70909,                0.62504,                0.69894,                0.48222,                 1.1465,                 1.2197,                 1.5758,              0.0004357,              0.0004357,              0.0004357
                    116,                 1.0318,                 1.2892,                 1.4892,                0.71015,                0.62721,                0.69965,                0.48297,                  1.146,                 1.2173,                 1.5752,             0.00043075,             0.00043075,             0.00043075
                    117,                 1.0292,                 1.2899,                 1.4905,                0.71187,                0.62585,                0.70054,                0.48384,                 1.1457,                 1.2151,                 1.5745,              0.0004258,              0.0004258,              0.0004258
                    118,                 1.0288,                 1.2894,                 1.4877,                0.70861,                0.62935,                0.70157,                0.48449,                 1.1451,                 1.2126,                 1.5737,             0.00042085,             0.00042085,             0.00042085
                    119,                 1.0312,                 1.2906,                 1.4873,                0.70866,                0.62921,                0.70226,                0.48511,                 1.1443,                 1.2099,                 1.5727,              0.0004159,              0.0004159,              0.0004159
                    120,                  1.025,                  1.284,                 1.4867,                0.70651,                0.62998,                0.70294,                0.48539,                 1.1435,                 1.2075,                 1.5718,             0.00041095,             0.00041095,             0.00041095
